algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
Kyber512,1,,2.14453125,,0,787,,,0,,,,0.007,7,2248704,38878234753,24741128822,Keygen,,800,1632,,0,,142857.14285714287,1762751331,
Kyber512,1,,2.14453125,,0,888,,,0,,,,0.0,0,2248704,38878234753,24741128822,Keygen,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.14453125,,0,901,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.14453125,,0,912,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.14453125,,0,921,0.0,,0,,,,,0,2248704,38878234753,24741128822,Decapsulate,,800,1632,,0,,0.0,1762751331,
Kyber768,1,,2.14453125,,0,932,,,0,,,,0.001,1,2248704,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,2.14453125,,0,943,,,0,,,,0.001,1,2248704,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,2.14453125,,0,954,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,2.14453125,,0,963,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,2.14453125,,0,972,0.0,,0,,,,,0,2248704,38878234753,24741128822,Decapsulate,,1184,2400,,0,,0.0,1762751331,
RSA-2048,1,,2.14453125,,0,982,,,0,,,,0.0,0,2248704,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.14453125,,0,992,,,0,,,,0.0,0,2248704,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.14453125,,0,1001,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,2.14453125,,0,1013,,,0,,,,0.0,0,2248704,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.14453125,,0,1023,,,0,,,,0.0,0,2248704,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.14453125,,0,1032,,,0,0.0,,,,0,2248704,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,2.14453125,,0,1043,,,0,,,,0.002,2,2248704,38878234753,24741128822,Keygen,,1312,2528,,2420,,500000.0,1762751331,
Dilithium2,1,,2.14453125,,0,1053,,,0,,,,,0,2248704,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,2.14453125,,0,1062,,,0,,,,,0,2248704,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,2.14453125,,0,1074,,,0,,,,0.002,2,2248704,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,2.14453125,,0,1083,,,0,,,,,0,2248704,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
