algorithm_a,algorithm_b,operation,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,ttest_statistic,ttest_pvalue,paired_ttest_statistic,paired_ttest_pvalue,mannwhitneyu_statistic,mannwhitneyu_pvalue,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,cohens_dz,rank_biserial,mean_difference,percent_difference,faster_algorithm
Kyber512,RSA-2048,Keygen,60,60,2.533333333333333,0.11666666666666667,2.0,0.0,2.6262473495927487,0.3237317715130933,7.074276407848249,1.1503318012731826e-10,,,2805.0,9.517894041181655e-10,,,1.291580255535034,,-0.5583333333333333,2.4166666666666665,2071.428571428571,RSA-2048
Kyber512,RSA-2048,Encapsulate,60,30,0.016666666666666666,0.0,0.0,0.0,0.12909944487358058,0.0,0.7051064751106302,0.48260613975820466,,,915.0,0.4942678594495017,,,0.15766660097226323,,-0.016666666666666607,0.016666666666666666,,RSA-2048
Kyber768,RSA-2048,Keygen,60,60,1.2333333333333334,0.11666666666666667,1.0,0.0,1.063519368101815,0.3237317715130933,7.7805765485966045,3.0349946953322296e-12,,,3414.5,1.4509820517680521e-21,,,1.4205324286873497,,-0.8969444444444445,1.1166666666666667,957.1428571428571,RSA-2048
Kyber768,RSA-2048,Encapsulate,60,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,900.0,1.0,,,0.0,,0.0,0.0,,RSA-2048
Kyber512,ECDHE-P256,Keygen,60,60,2.533333333333333,0.0,2.0,0.0,2.6262473495927487,0.0,7.471922103539561,1.506954064113102e-11,,,2910.0,1.0140608274328067e-12,,,1.3641800946766893,,-0.6166666666666667,2.533333333333333,,ECDHE-P256
Kyber768,ECDHE-P256,Keygen,60,60,1.2333333333333334,0.0,1.0,0.0,1.063519368101815,0.0,8.982778506136603,5.0608979766183326e-15,,,3600.0,2.0564382133686755e-26,,,1.6400234722945248,,-1.0,1.2333333333333334,,ECDHE-P256
Dilithium2,ECDSA-P256,Sign,30,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,450.0,1.0,,,0.0,,0.0,0.0,,ECDSA-P256
Dilithium2,ECDSA-P256,Verify,30,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,450.0,1.0,,,0.0,,0.0,0.0,,ECDSA-P256
Dilithium3,ECDSA-P256,Sign,30,30,0.3,0.0,0.0,0.0,1.0221680811915899,0.0,1.6075317775526503,0.1133685657854495,,,495.0,0.08149328301841145,,,0.41506292019737473,,-0.10000000000000009,0.3,,ECDSA-P256
Dilithium3,ECDSA-P256,Verify,30,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,450.0,1.0,,,0.0,,0.0,0.0,,ECDSA-P256
