algorithm,op,n,p50_ms,p95_ms,p99_ms,mean_ms,std_ms,ci95_lower_ms,ci95_upper_ms,throughput_ops_per_s_mean,cpu_user_s_mean,cpu_system_s_mean,max_rss_mb_mean
AES-GCM-256,BulkDecrypt,30,0.002,0.002,0.002,0.0020000000000000005,4.410947542252892e-19,0.0020000000000000005,0.0020000000000000005,500000.0,0.0004264666666666666,0.0006442333333333332,2.058333333333333
AES-GCM-256,BulkEncrypt,30,0.002,0.004,0.004710000000000001,0.0024000000000000002,0.0007701320979389588,0.002112427948515203,0.0026875720514847974,445555.5555555556,0.0004205666666666667,0.0006366000000000001,2.058333333333333
Dilithium2,Keygen,30,0.002,0.003,0.003,0.0020000000000000005,0.0005252257314388902,0.0018038774886974572,0.0021961225113025437,544444.4444444444,0.0003854,0.0005786999999999999,2.058333333333333
Dilithium2,Sign,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003892666666666666,0.0005849333333333334,2.058333333333333
Dilithium2,Verify,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00039283333333333336,0.0005913,2.058333333333333
Dilithium3,Keygen,30,0.002,0.003,0.003,0.002133333333333334,0.00034574590364176044,0.0020042296911545257,0.002262436975512142,477777.7777777778,0.0003972333333333333,0.0005992333333333332,2.058333333333333
Dilithium3,Sign,30,0.0,0.002,0.004130000000000003,0.00030000000000000003,0.0010221680811915899,-8.168383431519135e-05,0.0006816838343151914,400000.0,0.00040103333333333334,0.0006057333333333334,2.058333333333333
Dilithium3,Verify,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00040429999999999996,0.0006117,2.058333333333333
ECDHE-P256,Encapsulate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00038060000000000004,0.0005714666666666666,2.058333333333333
ECDHE-P256,Keygen,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00037505,0.0005624833333333333,2.058333333333333
ECDSA-P256,Keygen,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0004081333333333333,0.0006175666666666668,2.058333333333333
ECDSA-P256,Sign,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0004119333333333333,0.0006233333333333333,2.058333333333333
ECDSA-P256,Verify,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00041563333333333337,0.0006291,2.058333333333333
Kyber512,Decapsulate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.000331,0.000504,2.058333333333333
Kyber512,Encapsulate,60,0.0,0.0,0.0004099999999999966,1.6666666666666667e-05,0.0001290994448735806,-1.668325630147113e-05,5.0016589634804466e-05,1000000.0,0.00032490000000000004,0.00049435,2.058333333333333
Kyber512,Keygen,60,0.002,0.008,0.008819999999999993,0.0025333333333333336,0.002626247349592749,0.0018549017034377817,0.0032117649632288853,373005.148005148,0.00031,0.00047208333333333325,2.053515625
Kyber768,Decapsulate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00035516666666666666,0.0005338666666666668,2.058333333333333
Kyber768,Encapsulate,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00034925,0.0005261166666666666,2.058333333333333
Kyber768,Keygen,60,0.001,0.002,0.004869999999999976,0.0012333333333333335,0.001063519368101815,0.00095859714809218,0.001508069518574487,935185.1851851852,0.00033916666666666665,0.0005138166666666667,2.058333333333333
RSA-2048,Encapsulate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00036879999999999997,0.0005520666666666667,2.058333333333333
RSA-2048,Keygen,60,0.0,0.001,0.001,0.00011666666666666667,0.0003237317715130933,3.303788226040723e-05,0.0002002954510729261,1000000.0,0.00036206666666666667,0.0005430000000000001,2.058333333333333
